Team 1,Team 2,Winner,Margin,Win by Runs,Win by Wickets,Ground,Match Date,Scorecard
England,Australia,England,1 wicket,,1,Manchester,24/Jun/18,ODI # 4013
England,India,India,8 wickets,,8,Nottingham,12/Jul/18,ODI # 4014
Zimbabwe,Pakistan,Pakistan,201 runs,201,,Bulawayo,13/Jul/18,ODI # 4015
England,India,England,86 runs,86,,Lord's,14/Jul/18,ODI # 4016
Zimbabwe,Pakistan,Pakistan,9 wickets,,9,Bulawayo,16/Jul/18,ODI # 4017
England,India,England,8 wickets,,8,Leeds,17/Jul/18,ODI # 4018
Zimbabwe,Pakistan,Pakistan,9 wickets,,9,Bulawayo,18/Jul/18,ODI # 4019
Zimbabwe,Pakistan,Pakistan,244 runs,244,,Bulawayo,20/Jul/18,ODI # 4020
Zimbabwe,Pakistan,Pakistan,131 runs,131,,Bulawayo,22/Jul/18,ODI # 4021
West Indies,Bangladesh,Bangladesh,48 runs,48,,Providence,22/Jul/18,ODI # 4022
West Indies,Bangladesh,West Indies,3 runs,3,,Providence,25/Jul/18,ODI # 4023
West Indies,Bangladesh,Bangladesh,18 runs,18,,Basseterre,28/Jul/18,ODI # 4024
Sri Lanka,South Africa,South Africa,5 wickets,,5,Dambulla,29/Jul/18,ODI # 4025
Netherlands,Nepal,Netherlands,55 runs,55,,Amstelveen,01/Aug/18,ODI # 4026
Sri Lanka,South Africa,South Africa,4 wickets,,4,Dambulla,01/Aug/18,ODI # 4027
Netherlands,Nepal,Nepal,1 run,1,,Amstelveen,03/Aug/18,ODI # 4028
Sri Lanka,South Africa,South Africa,78 runs,78,,Pallekele,05/Aug/18,ODI # 4029
Sri Lanka,South Africa,Sri Lanka,3 runs,3,,Pallekele,08/Aug/18,ODI # 4030
Sri Lanka,South Africa,Sri Lanka,178 runs,178,,Colombo (RPS),12/Aug/18,ODI # 4031
Ireland,Afghanistan,Afghanistan,29 runs,29,,Belfast,27/Aug/18,ODI # 4032
Ireland,Afghanistan,Ireland,3 wickets,,3,Belfast,29/Aug/18,ODI # 4033
Nepal,U.A.E.,U.A.E.,78 runs,78,,Kuala Lumpur,30/Aug/18,ODI # 4034
Ireland,Afghanistan,Afghanistan,8 wickets,,8,Belfast,31/Aug/18,ODI # 4035
Bangladesh,Sri Lanka,Bangladesh,137 runs,137,,Dubai (DSC),15/Sep/18,ODI # 4036
Hong Kong,Pakistan,Pakistan,8 wickets,,8,Dubai (DSC),16/Sep/18,ODI # 4037
Afghanistan,Sri Lanka,Afghanistan,91 runs,91,,Abu Dhabi,17/Sep/18,ODI # 4038
Hong Kong,India,India,26 runs,26,,Dubai (DSC),18/Sep/18,ODI # 4039
India,Pakistan,India,8 wickets,,8,Dubai (DSC),19/Sep/18,ODI # 4040
Afghanistan,Bangladesh,Afghanistan,136 runs,136,,Abu Dhabi,20/Sep/18,ODI # 4041
Bangladesh,India,India,7 wickets,,7,Dubai (DSC),21/Sep/18,ODI # 4042
Afghanistan,Pakistan,Pakistan,3 wickets,,3,Abu Dhabi,21/Sep/18,ODI # 4043
India,Pakistan,India,9 wickets,,9,Dubai (DSC),23/Sep/18,ODI # 4044
Afghanistan,Bangladesh,Bangladesh,3 runs,3,,Abu Dhabi,23/Sep/18,ODI # 4045
Afghanistan,India,tied,,0,0,Dubai (DSC),25/Sep/18,ODI # 4046
Bangladesh,Pakistan,Bangladesh,37 runs,37,,Abu Dhabi,26/Sep/18,ODI # 4047
Bangladesh,India,India,3 wickets,,3,Dubai (DSC),28/Sep/18,ODI # 4048
South Africa,Zimbabwe,South Africa,5 wickets,,5,Kimberley,30/Sep/18,ODI # 4049
South Africa,Zimbabwe,South Africa,120 runs,120,,Bloemfontein,03/Oct/18,ODI # 4050
South Africa,Zimbabwe,South Africa,4 wickets,,4,Paarl,06/Oct/18,ODI # 4051
Sri Lanka,England,no result,,,,Dambulla,10/Oct/18,ODI # 4052
Sri Lanka,England,England,31 runs,31,,Dambulla,13/Oct/18,ODI # 4053
Sri Lanka,England,England,7 wickets,,7,Pallekele,17/Oct/18,ODI # 4054
Sri Lanka,England,England,18 runs,18,,Pallekele,20/Oct/18,ODI # 4055
India,West Indies,India,8 wickets,,8,Guwahati,21/Oct/18,ODI # 4056
Bangladesh,Zimbabwe,Bangladesh,28 runs,28,,Dhaka,21/Oct/18,ODI # 4057
Sri Lanka,England,Sri Lanka,219 runs,219,,Colombo (RPS),23/Oct/18,ODI # 4058
India,West Indies,tied,,0,0,Visakhapatnam,24/Oct/18,ODI # 4059
Bangladesh,Zimbabwe,Bangladesh,7 wickets,,7,Chattogram,24/Oct/18,ODI # 4060
Bangladesh,Zimbabwe,Bangladesh,7 wickets,,7,Chattogram,26/Oct/18,ODI # 4061
India,West Indies,West Indies,43 runs,43,,Pune,27/Oct/18,ODI # 4062
India,West Indies,India,224 runs,224,,Mumbai (BS),29/Oct/18,ODI # 4063
India,West Indies,India,9 wickets,,9,Thiruvananthapuram,01/Nov/18,ODI # 4064
Australia,South Africa,South Africa,6 wickets,,6,Perth,04/Nov/18,ODI # 4065
New Zealand,Pakistan,New Zealand,47 runs,47,,Abu Dhabi,07/Nov/18,ODI # 4066
Australia,South Africa,Australia,7 runs,7,,Adelaide,09/Nov/18,ODI # 4067
New Zealand,Pakistan,Pakistan,6 wickets,,6,Abu Dhabi,09/Nov/18,ODI # 4068
Australia,South Africa,South Africa,40 runs,40,,Hobart,11/Nov/18,ODI # 4069
New Zealand,Pakistan,no result,,,,Dubai (DSC),11/Nov/18,ODI # 4070
Bangladesh,West Indies,Bangladesh,5 wickets,,5,Dhaka,09/Dec/18,ODI # 4071
Bangladesh,West Indies,West Indies,4 wickets,,4,Dhaka,11/Dec/18,ODI # 4072
Bangladesh,West Indies,Bangladesh,8 wickets,,8,Sylhet,14/Dec/18,ODI # 4073
